GPU,Steel Nomad,MSRP,MAX GPU Clockspeed,Memory Clockspeed,SP,TMU,ROP,Memory Size (MB),Buswidth (bits),Max Bandwidth (MB/s),Memory Type,Process Size (nm),Transistors (b),"Year of
Release"
Radeon RX 9070XT,7153,599,2970,20144,4096,256,128,16384,256,644608,GDDR6,5,53.9,2025
Radeon RX 9070,6019,549,2520,20144,3584,224,128,16384,256,644608,GDDR6,5,53.9,2025
Radeon RX 7900XTX,6833,999,2499,20000,6144,384,192,24576,384,960000,GDDR6,5,58,2022
Radeon RX 7900XT,5621,899,2394,20000,5376,336,192,20480,320,800000,GDDR6,5,58,2022
Radeon RX 7900GRE,4812,549,2245,18000,5120,320,160,16384,256,576000,GDDR6,5,58,2023
Radeon RX 7800XT,4156,499,2430,19504,3840,240,96,16384,256,624128,GDDR6,5,28.1,2023
Radeon RX 7700XT,3314,449,2544,18000,3456,216,96,12228,192,432000,GDDR6,5,28.1,2023
Radeon RX 7650GRE,2335,279,2695,18000,2048,128,64,8192,128,288000,GDDR6,5,13.3,2025
Radeon RX 7600XT,2346,329,2755,18000,2048,128,64,16384,128,288000,GDDR6,5,13.3,2024
Radeon RX 7600,2308,269,2655,18000,2048,128,64,8192,128,288000,GDDR6,5,13.3,2023
Radeon RX 6950XT,4232,1099,2310,18000,5120,320,128,16384,256,576000,GDDR6,7,26.8,2022
Radeon RX 6900XT,4079,999,2250,16000,5120,320,128,16384,256,512000,GDDR6,7,26.8,2020
Radeon RX 6800XT,3691,649,2250,16000,4608,288,128,16384,256,512000,GDDR6,7,26.8,2020
Radeon RX 6800,3186,579,2105,16000,3840,240,96,16384,256,512000,GDDR6,7,26.8,2020
Radeon RX 6750XT,2550,549,2600,18000,2560,160,64,12288,192,432000,GDDR6,7,17.2,2022
Radeon RX 6700XT,2437,479,2581,16000,2560,160,64,12288,192,384000,GDDR6,7,17.2,2021
Radeon RX 6650XT,1860,399,2635,18000,2048,128,64,8192,128,288000,GDDR6,7,11.1,2022
Radeon RX 6600XT,1805,379,2589,16000,2048,128,64,8192,128,256000,GDDR6,7,11.1,2021
Radeon RX 6600,1493,329,2491,14000,1792,112,64,8192,128,224000,GDDR6,7,11.1,2021
Radeon RX 6500XT,231,199,2815,18000,1024,64,32,4096,64,144000,GDDR6,6,5.4,2022
Radeon RX 5700XT,2135,399,1905,14000,2560,160,64,8192,256,448000,GDDR6,7,10.3,2019
Radeon RX 5700,1866,349,1725,14000,2304,144,64,8192,256,448000,GDDR6,7,10.3,2019
Radeon RX 5600XT,1670,279,1560,14000,2304,144,64,6144,192,336000,GDDR6,7,10.3,2020
Radeon RX 5500XT,1034,169,1845,14000,1408,88,32,4096,128,224000,GDDR6,7,6.4,2019